dataset,num_customers,model,avg_score,avg_distance,avg_runtime,avg_feasibility_rate,avg_fill_rate,avg_unpacked_boxes,avg_route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_fill_std,avg_tiny_route_count,avg_merged_route_count,avg_overflow_route_count,avg_route_balance_penalty,avg_fill_balance_penalty,avg_boxes_per_route,avg_customers_per_route,std_dev_score,std_dev_runtime,best_score,worst_score,best_runtime,worst_runtime
XML100_1142_01_merged_with_boxes_norm,100,proposed_no_tiny_repair,24249.88702878789,24106.840931928557,94.47054527999717,1.0,0.0845713372968264,0.0,3.8,0.0845713372968264,0.043423124157948995,0.11409711484071415,0.009216235404268273,0.1,0.0,1.1,22.2,0.022799495232558833,64.0,26.666666666666668,2608.543968265703,21.597567839000146,20823.488870601654,30754.778637875934,66.01726069999859,127.11363500001607
XML250_1111_01_merged_with_boxes_norm,250,proposed_full,86020.4867990895,86016.34645587749,102.06769166999729,1.0,0.0923490161146005,0.0,9.1,0.0923490161146005,0.0668683155158035,0.1143937820138266,0.009015728183993599,0.0,0.0,0.0,6.226666666666652,0.02913191386999132,68.97,27.5,2962.1467383087816,24.224550663538512,83376.80153249633,91923.66160736661,68.7428254999977,147.9352491000027
XML250_1111_01_merged_with_boxes_norm,250,proposed_no_adaptive,84570.95574810344,84332.27214335113,62.38404771000787,1.0,0.08955056108082472,0.0,9.4,0.08955056108082472,0.004713954639504938,0.11702136415381742,0.015611744007868364,0.4,0.0,0.0,46.89333333333332,0.055477232137154706,66.88000000000001,26.666666666666668,3644.288953748447,2.155469977814924,78205.96908368463,89492.13512610325,58.50276820000727,64.86492510000244
XML250_1111_01_merged_with_boxes_norm,250,proposed_no_final_refinement,86020.4867990895,86016.34645587749,100.6668814500008,1.0,0.0923490161146005,0.0,9.1,0.0923490161146005,0.0668683155158035,0.1143937820138266,0.009015728183993599,0.0,0.0,0.0,6.226666666666652,0.02913191386999132,68.97,27.5,2962.1467383087816,14.217063813309178,83376.80153249633,91923.66160736661,81.11597860002075,127.63755240000319
XML250_1111_01_merged_with_boxes_norm,250,proposed_no_relocation,87244.1065912966,87221.64419675231,92.03163726000348,1.0,0.09234901611460049,0.0,9.1,0.09234901611460049,0.052001282869194,0.12582656689566077,0.010358753002425315,0.1,0.0,0.0,8.479999999999983,0.035235293722307645,68.97,27.5,2688.9661490473427,8.369874925170052,83034.61722322206,91857.72427703928,77.71234500000719,100.78287779999664
XML250_1111_01_merged_with_boxes_norm,250,proposed_no_route_balance_mutation,87155.2843377113,87128.52463081662,116.33661414999806,1.0,0.09141619777000856,0.0,9.2,0.09141619777000856,0.06357641150332004,0.10857159714304966,0.008545897680050993,0.0,0.0,0.0,10.626666666666654,0.02695621207004014,68.27333333333334,27.22222222222222,3157.5745616398895,15.19204059170132,81728.41638272561,90886.523639816,94.06128870000248,142.58486719999928
XML250_1111_01_merged_with_boxes_norm,250,proposed_no_tiny_repair,86020.4867990895,86016.34645587749,108.32971988000209,1.0,0.0923490161146005,0.0,9.1,0.0923490161146005,0.0668683155158035,0.1143937820138266,0.009015728183993599,0.0,0.0,0.0,6.226666666666652,0.02913191386999132,68.97,27.5,2962.1467383087816,18.951815656235546,83376.80153249633,91923.66160736661,84.96389159999671,146.6266628000012
XML250_1142_01_merged_with_boxes_norm,250,proposed_full,81037.64228287502,80848.26284025032,108.19376963000104,1.0,0.09708143171405158,0.0,9.0,0.09708143171405158,0.05980964537018441,0.12522489492076186,0.014524753300357799,0.1,0.0,0.0,42.13333333333336,0.05005404581443758,66.33333333333333,27.77777777777778,1565.2605220410187,11.910102335852658,79244.86222276177,83513.41924471378,84.32277810000232,128.43464279998443
XML250_1142_01_merged_with_boxes_norm,250,proposed_no_adaptive,79587.30727965359,79388.69494782333,82.1189442599978,1.0,0.09708143171405159,0.0,9.0,0.09708143171405159,0.05880497281245865,0.12335785340224784,0.013781744450148353,0.1,0.0,0.0,44.0666666666667,0.046518720761769494,66.33333333333333,27.77777777777778,1993.0763458335152,17.865617886680532,77326.48605611357,83926.22907386204,57.16654790000757,106.90292989998125
XML250_1142_01_merged_with_boxes_norm,250,proposed_no_final_refinement,81037.64228287502,80848.26284025032,114.31976982999768,1.0,0.09708143171405158,0.0,9.0,0.09708143171405158,0.05980964537018441,0.12522489492076186,0.014524753300357799,0.1,0.0,0.0,42.13333333333336,0.05005404581443758,66.33333333333333,27.77777777777778,1565.2605220410187,12.815227446701055,79244.86222276177,83513.41924471378,100.32635869999649,142.09827919999952
XML250_1142_01_merged_with_boxes_norm,250,proposed_no_relocation,79865.74205767139,79657.8017875359,96.84722094000026,1.0,0.09708143171405159,0.0,9.0,0.09708143171405159,0.06270100867311387,0.13524105773806935,0.014577818152868549,0.0,0.0,0.0,47.0666666666667,0.05193834421508174,66.33333333333333,27.77777777777778,2387.77844794916,9.478442524076849,77103.129575367,84061.3261895686,82.5698424000002,114.2644923000189
XML250_1142_01_merged_with_boxes_norm,250,proposed_no_route_balance_mutation,81784.60796324293,81584.9901152949,129.92094552000344,1.0,0.09708143171405159,0.0,9.0,0.09708143171405159,0.056280952249207865,0.12579406963382883,0.014370858239669321,0.1,0.0,0.0,44.20000000000003,0.04927097238002348,66.33333333333333,27.77777777777778,2890.38664883417,16.560474725488593,78113.34426554412,86800.3482912496,105.09647980000591,157.19727239999338
XML250_1142_01_merged_with_boxes_norm,250,proposed_no_tiny_repair,81037.64228287502,80848.26284025032,140.36477610000003,1.0,0.09708143171405158,0.0,9.0,0.09708143171405158,0.05980964537018441,0.12522489492076186,0.014524753300357799,0.1,0.0,0.0,42.13333333333336,0.05005404581443758,66.33333333333333,27.77777777777778,1565.2605220410187,24.423418101905373,79244.86222276177,83513.41924471378,106.84658370001125,183.75035459999344
XML500_1111_01_merged_with_boxes_norm,500,proposed_full,211700.9582064036,210807.58559537755,219.6709121500142,1.0,0.09279250278673458,0.0,18.9,0.09279250278673458,0.023230197324057636,0.13604819118498293,0.016780849012888562,0.9,0.1,0.1,90.08070175438606,0.07802499510288377,66.6312865497076,26.461988304093563,4869.453412591505,26.844029127999377,205085.43079100887,219625.39674679076,186.0960304000182,273.68441350001376
XML500_1111_01_merged_with_boxes_norm,500,proposed_no_adaptive,206390.17847680263,205402.7541951412,90.08384512000484,1.0,0.0922798370254819,0.0,19.0,0.0922798370254819,0.007259434018578241,0.1278248962452716,0.020695746017794024,1.0,0.0,0.0,106.9263157894738,0.10298460816594388,66.26315789473684,26.31578947368421,4504.5699548888015,6.341614623817465,199626.88479663298,213620.26215692953,83.59435080000549,103.19357060000766
